open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
125.69,126.5,121.61,121.99,28631100.0,300308.SZ,20240925,中际旭创,NA,CNY
123.01,129.98,121.7,129.68,26838900.0,300308.SZ,20240926,中际旭创,NA,CNY
128.79,137.68,126.06,133.6,49555500.0,300308.SZ,20240927,中际旭创,NA,CNY
136.0,155.5,132.0,154.86,61306500.0,300308.SZ,20240930,中际旭创,NA,CNY
185.8,185.83,161.7,185.83,74989300.0,300308.SZ,20241008,中际旭创,NA,CNY
175.11,185.57,163.5,166.4,65754700.0,300308.SZ,20241009,中际旭创,NA,CNY
168.2,169.69,157.0,162.71,46360800.0,300308.SZ,20241010,中际旭创,NA,CNY
159.01,168.3,156.69,159.64,35176100.0,300308.SZ,20241011,中际旭创,NA,CNY
159.0,162.58,152.35,162.0,42267400.0,300308.SZ,20241014,中际旭创,NA,CNY
161.0,167.06,157.68,157.8,32637400.0,300308.SZ,20241015,中际旭创,NA,CNY
151.86,154.73,147.66,148.7,37880400.0,300308.SZ,20241016,中际旭创,NA,CNY
151.0,153.5,148.75,150.5,25106700.0,300308.SZ,20241017,中际旭创,NA,CNY
150.0,177.0,149.66,168.0,58646400.0,300308.SZ,20241018,中际旭创,NA,CNY
166.4,171.8,159.11,164.97,54772700.0,300308.SZ,20241021,中际旭创,NA,CNY
169.0,170.33,163.5,170.0,40726400.0,300308.SZ,20241022,中际旭创,NA,CNY
160.0,162.62,155.7,156.16,60557800.0,300308.SZ,20241023,中际旭创,NA,CNY
154.85,165.98,154.5,157.1,44036400.0,300308.SZ,20241024,中际旭创,NA,CNY
158.89,159.81,153.65,156.36,38942600.0,300308.SZ,20241025,中际旭创,NA,CNY
156.37,156.75,148.1,150.54,40852100.0,300308.SZ,20241028,中际旭创,NA,CNY
